student,num_blocks,student_params,student_plus_classifier,teacher_params,ratio_vs_teacher,accuracy_pct
mobile_cnn,6,1242752,1322726,49533126,0.026703866822376604,71.89981673793525
nano_cnn,4,87912,167886,49533126,0.003389368157382193,58.827122785583384
wide_cnn,4,699456,779430,49533126,0.015735530198518057,71.96090409285279
deep_cnn,7,503312,583286,49533126,0.01177567513102242,74.52657299938913
bottleneck_cnn,5,315392,395366,49533126,0.007981850368175834,70.55589492974954
